;language;mgsm_basic;mgsm_cot;xcopa_cause;xcopa_effect;cot;xstorycloze
27;khm_Khmr;"សំណួរ:  {question} 
ផ្អែកលើសំណួរនេះ សូមរៀបចំចម្លើយតាមចំនួន។  ចម្លើយ: ";"សំណួរ:  {question} 
ផ្អែកលើសំណួរនេះ សូមរៀបចំចម្លើយតាមចំនួន។  ចម្លើយ:  យើងគិតមួយជំហានៗៗ ";"ការសន្មត:  {premise} 
ជម្រើស A:  {choice1} 
ជម្រើស B: {choice2} 
ដោយផ្អែកលើការលើកឡើងនេះ តើមូលហេតុអ្វីដែលអាចកើតឡើងបាន? 
ជ្រើសរើសពីចន្លោះជម្រើស A និង B ។ 
ចម្លើយ:  {cot}";"ការសន្មត:  {premise} 
ជម្រើស A:  {choice1} 
ជម្រើស B: {choice2} 
ដោយផ្អែកលើការលើកឡើងថា តើផលប៉ះពាល់អ្វីដែលអាចកើតឡើងបាន? 
ជ្រើសរើសពីចន្លោះជម្រើស A និង B ។ 
ចម្លើយ:  {cot}";យើងគិតមួយជំហានៗៗ ;"[ រូបភាព នៅ ទំព័រ ១៦ ]  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
ជម្រើស A:  {sentence_quiz1} 
ជម្រើស B: {sentence_quiz2} 
តើ រឿង នេះ អាច បញ្ចប់ ទៅ ដោយ របៀប ណា? 
ជ្រើសរើសពីចន្លោះជម្រើស A និង B ។ 
ចម្លើយ:  {cot}"
28;kor_Hang;"질문:  {question} 
질문 에 근거 하여 숫자 로 답 을 정합 하십시오.  답: ";"질문:  {question} 
질문 에 근거 하여 숫자 로 답 을 정합 하십시오.  답:  한 단계씩 생각해 봅시다. ";"전제:  {premise} 
옵션 A:  {choice1} 
옵션 B: {choice2} 
그 전제 조건에 따라, 어떤 원인은 더 가능성이 높습니까? 
선택 A와 B 중에서 선택하세요. 
답:  {cot}";"전제:  {premise} 
옵션 A:  {choice1} 
옵션 B: {choice2} 
전제대로, 어떤 효과가 더 가능성이 높습니까? 
선택 A와 B 중에서 선택하세요. 
답:  {cot}";한 단계씩 생각해 봅시다. ;"다음 의 이야기 를 고려 해 보십시오.  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
옵션 A:  {sentence_quiz1} 
옵션 B: {sentence_quiz2} 
어떤 이야기가 가장 잘 끝날까요? 
선택 A와 B 중에서 선택하세요. 
답:  {cot}"
29;lao_Laoo;"ຄໍາຖາມ:  {question} 
ອີງໃສ່ຄໍາຖາມ, ສ້າງຄໍາຕອບເປັນຕົວເລກ.  ຄໍາຕອບ: ";"ຄໍາຖາມ:  {question} 
ອີງໃສ່ຄໍາຖາມ, ສ້າງຄໍາຕອບເປັນຕົວເລກ.  ຄໍາຕອບ:  ໃຫ້ຄິດເທື່ອລະກ້າວ. ";"ການຕັ້ງໃຈ:  {premise} 
ທາງເລືອກ A:  {choice1} 
ທາງເລືອກ B: {choice2} 
ອີງຕາມການຄາດຄະເນ, ສາເຫດອັນໃດທີ່ເປັນໄປໄດ້ຫຼາຍ? 
ເລືອກລະຫວ່າງທາງເລືອກ A ແລະ B. 
ຄໍາຕອບ:  {cot}";"ການຕັ້ງໃຈ:  {premise} 
ທາງເລືອກ A:  {choice1} 
ທາງເລືອກ B: {choice2} 
ອີງຕາມການຕັ້ງໃຈ, ຜົນກະທົບໃດທີ່ອາດຈະເກີດຂື້ນ? 
ເລືອກລະຫວ່າງທາງເລືອກ A ແລະ B. 
ຄໍາຕອບ:  {cot}";ໃຫ້ຄິດເທື່ອລະກ້າວ. ;"ເບິ່ງ ເລື່ອງ ຕໍ່ ໄປ ນີ້:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
ທາງເລືອກ A:  {sentence_quiz1} 
ທາງເລືອກ B: {sentence_quiz2} 
ເລື່ອງນີ້ຈະສິ້ນສຸດລົງແບບໃດ? 
ເລືອກລະຫວ່າງທາງເລືອກ A ແລະ B. 
ຄໍາຕອບ:  {cot}"
30;mai_Deva;"प्रश्न:  {question} 
प्रश्नक आधार पर, संख्यात्मक उत्तर तैयार करू।  उत्तर: ";"प्रश्न:  {question} 
प्रश्नक आधार पर, संख्यात्मक उत्तर तैयार करू।  उत्तर:  चलू, एक-एक कऽ सोचैत छी। ";"आधार:  {premise} 
विकल्प ए:  {choice1} 
विकल्प बीः {choice2} 
एहि आधार पर, कोन कारण अधिक संभावना अछि? 
विकल्प ए आ विकल्प बी मे सँ चुनू. 
उत्तर:  {cot}";"आधार:  {premise} 
विकल्प ए:  {choice1} 
विकल्प बीः {choice2} 
एहि आधार पर, कोन प्रभाव अधिक संभावना अछि? 
विकल्प ए आ विकल्प बी मे सँ चुनू. 
उत्तर:  {cot}";चलू, एक-एक कऽ सोचैत छी। ;"निम्नलिखित कथा पर विचार करू:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
विकल्प ए:  {sentence_quiz1} 
विकल्प बीः {sentence_quiz2} 
कथाक कोन अंत बेसी संभावना अछि? 
विकल्प ए आ विकल्प बी मे सँ चुनू. 
उत्तर:  {cot}"
31;mal_Mlym;"ചോദ്യം:  {question} 
ചോദ്യത്തിന് ഒരു സംഖ്യാ ഉത്തരം ഉണ്ടാക്കുക.  ഉത്തരം: ";"ചോദ്യം:  {question} 
ചോദ്യത്തിന് ഒരു സംഖ്യാ ഉത്തരം ഉണ്ടാക്കുക.  ഉത്തരം:  നമുക്ക് പടിപടിയായി ചിന്തിക്കാം. ";"പ്രമേയം:  {premise} 
ഓപ്ഷൻ എ:  {choice1} 
ഓപ്ഷൻ ബി: {choice2} 
ഈ പ്രമേയത്തിന്റെ അടിസ്ഥാനത്തില്, ഏത് കാരണമാണ് കൂടുതല് സാദ്ധ്യമായത്? 
ഓപ്ഷനുകള് എ, ബി എന്നിവയില് നിന്ന് തെരഞ്ഞെടുക്കുക. 
ഉത്തരം:  {cot}";"പ്രമേയം:  {premise} 
ഓപ്ഷൻ എ:  {choice1} 
ഓപ്ഷൻ ബി: {choice2} 
ഈ പ്രമേയത്തിന്റെ അടിസ്ഥാനത്തില്, ഏത് പ്രഭാവമാണ് കൂടുതല് സാദ്ധ്യമായത്? 
ഓപ്ഷനുകള് എ, ബി എന്നിവയില് നിന്ന് തെരഞ്ഞെടുക്കുക. 
ഉത്തരം:  {cot}";നമുക്ക് പടിപടിയായി ചിന്തിക്കാം. ;"ഒരു കഥ:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
ഓപ്ഷൻ എ:  {sentence_quiz1} 
ഓപ്ഷൻ ബി: {sentence_quiz2} 
കഥയുടെ ഏത് അവസാനം ആണ് ഏറ്റവും സാധ്യത? 
ഓപ്ഷനുകള് എ, ബി എന്നിവയില് നിന്ന് തെരഞ്ഞെടുക്കുക. 
ഉത്തരം:  {cot}"
32;mar_Deva;"प्रश्न:  {question} 
प्रश्नावर आधारित, एक संख्यात्मक उत्तर तयार करा.  उत्तर: ";"प्रश्न:  {question} 
प्रश्नावर आधारित, एक संख्यात्मक उत्तर तयार करा.  उत्तर:  चला एक एक पाऊल विचार करूया. ";"आधार:  {premise} 
पर्याय अ:  {choice1} 
पर्याय ब: {choice2} 
या प्रमेयानुसार, कोणत्या कारणामुळे अधिक शक्यता आहे? 
पर्याय अ आणि ब मधून निवडा. 
उत्तर:  {cot}";"आधार:  {premise} 
पर्याय अ:  {choice1} 
पर्याय ब: {choice2} 
या प्रमेयानुसार, कोणता परिणाम अधिक संभव आहे? 
पर्याय अ आणि ब मधून निवडा. 
उत्तर:  {cot}";चला एक एक पाऊल विचार करूया. ;"पुढील कथा पाहा:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
पर्याय अ:  {sentence_quiz1} 
पर्याय ब: {sentence_quiz2} 
कथेचा कोणता शेवट सर्वात जास्त संभव आहे? 
पर्याय अ आणि ब मधून निवडा. 
उत्तर:  {cot}"
33;mya_Mymr;"မေးခွန်းက  {question} 
မေးခွန်းကို အခြေခံပြီး အဖြေကို ဂဏန်းနဲ့ ရေးပါ။  အဖြေက ";"မေးခွန်းက  {question} 
မေးခွန်းကို အခြေခံပြီး အဖြေကို ဂဏန်းနဲ့ ရေးပါ။  အဖြေက  တစ်ဆင့်ပြီး တစ်ဆင့် တွေးကြည့်ရအောင်။ ";"အခြေခံသဘောတရား:  {premise} 
ရွေးချယ်စရာ A:  {choice1} 
ရွေးချယ်စရာ B: {choice2} 
အဆိုကြမ်းကို အခြေခံပြီး ဘယ်အကြောင်းတရားက ဖြစ်နိုင်ခြေ ပိုများလဲ။ 
ရွေးချယ်စရာ A နဲ့ B အကြားမှာ ရွေးပါ။ 
အဖြေက  {cot}";"အခြေခံသဘောတရား:  {premise} 
ရွေးချယ်စရာ A:  {choice1} 
ရွေးချယ်စရာ B: {choice2} 
အဆိုပြုချက်ကို အခြေခံပြီး ဘယ်အကျိုးသက်ရောက်မှုက ပိုဖြစ်နိုင်ခြေရှိလဲ။ 
ရွေးချယ်စရာ A နဲ့ B အကြားမှာ ရွေးပါ။ 
အဖြေက  {cot}";တစ်ဆင့်ပြီး တစ်ဆင့် တွေးကြည့်ရအောင်။ ;"[စာမျက်နှာ ၂၃ ပါ ရုပ်ပုံ]  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
ရွေးချယ်စရာ A:  {sentence_quiz1} 
ရွေးချယ်စရာ B: {sentence_quiz2} 
ဘယ်အဆုံးသတ်က ဖြစ်နိုင်ခြေအရှိဆုံးလဲ။ 
ရွေးချယ်စရာ A နဲ့ B အကြားမှာ ရွေးပါ။ 
အဖြေက  {cot}"
34;nno_Latn;"Spørsmål:  {question} 
Basert på spørsmålet, formulera eit numerisk svar.  Svar: ";"Spørsmål:  {question} 
Basert på spørsmålet, formulera eit numerisk svar.  Svar:  Lat oss tenkja skritt for skritt. ";"Utgangspunktet:  {premise} 
Alternativ A:  {choice1} 
Alternativ B: {choice2} 
Ut frå kva for ein grunnleggjande teori er det meir sannsynleg at dette skjedde? 
Velg mellom alternativ A og B. 
Svar:  {cot}";"Utgangspunktet:  {premise} 
Alternativ A:  {choice1} 
Alternativ B: {choice2} 
Ut frå kva for ein effekt er det meir sannsynleg? 
Velg mellom alternativ A og B. 
Svar:  {cot}";Lat oss tenkja skritt for skritt. ;"Ta til dømes denne historia:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Alternativ A:  {sentence_quiz1} 
Alternativ B: {sentence_quiz2} 
Kva for ein slutt på historia er mest sannsynleg? 
Velg mellom alternativ A og B. 
Svar:  {cot}"
35;nld_Latn;"Vraag:  {question} 
Gebaseerd op de vraag, formuleer een numeriek antwoord.  Antwoord: ";"Vraag:  {question} 
Gebaseerd op de vraag, formuleer een numeriek antwoord.  Antwoord:  Laten we stap voor stap denken. ";"Voorwaarde:  {premise} 
Optie A:  {choice1} 
Optie B: {choice2} 
Welke oorzaak is waarschijnlijker? 
Kies tussen optie A en B. 
Antwoord:  {cot}";"Voorwaarde:  {premise} 
Optie A:  {choice1} 
Optie B: {choice2} 
Welke van de volgende effecten is waarschijnlijk? 
Kies tussen optie A en B. 
Antwoord:  {cot}";Laten we stap voor stap denken. ;"Beschouw het volgende verhaal eens:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Optie A:  {sentence_quiz1} 
Optie B: {sentence_quiz2} 
Welk einde van het verhaal is het meest waarschijnlijk? 
Kies tussen optie A en B. 
Antwoord:  {cot}"
36;npi_Deva;"प्रश्न:  {question} 
प्रश्नको आधारमा, संख्यात्मक उत्तर तयार पार्नुहोस्।  उत्तर: ";"प्रश्न:  {question} 
प्रश्नको आधारमा, संख्यात्मक उत्तर तयार पार्नुहोस्।  उत्तर:  अब एक-एक गरेर सोचौं। ";"आधार:  {premise} 
विकल्प ए:  {choice1} 
विकल्प बी: {choice2} 
यो आधारमा, कुन कारण बढी सम्भावना छ? 
विकल्प ए र बी बीचमा छनौट गर्नुहोस्। 
उत्तर:  {cot}";"आधार:  {premise} 
विकल्प ए:  {choice1} 
विकल्प बी: {choice2} 
यो आधारमा, कुन प्रभाव बढी सम्भावना छ? 
विकल्प ए र बी बीचमा छनौट गर्नुहोस्। 
उत्तर:  {cot}";अब एक-एक गरेर सोचौं। ;"[पृष्ठ २३-मा भएको चित्र]  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
विकल्प ए:  {sentence_quiz1} 
विकल्प बी: {sentence_quiz2} 
कथाको कुन अन्त हुने सम्भावना बढी छ? 
विकल्प ए र बी बीचमा छनौट गर्नुहोस्। 
उत्तर:  {cot}"
37;pol_Latn;"Pytanie:  {question} 
Na podstawie pytania sformułuj odpowiedź numeryczną.  Odpowiedź: ";"Pytanie:  {question} 
Na podstawie pytania sformułuj odpowiedź numeryczną.  Odpowiedź:  Pomyślmy krok po kroku. ";"Wniosek:  {premise} 
Opcja A:  {choice1} 
Opcja B: {choice2} 
W oparciu o te przesłanki, która przyczyna jest bardziej prawdopodobna? 
Wybierz opcję A lub B. 
Odpowiedź:  {cot}";"Wniosek:  {premise} 
Opcja A:  {choice1} 
Opcja B: {choice2} 
W oparciu o założenie, który efekt jest bardziej prawdopodobny? 
Wybierz opcję A lub B. 
Odpowiedź:  {cot}";Pomyślmy krok po kroku. ;"Rozważmy następującą historię:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Opcja A:  {sentence_quiz1} 
Opcja B: {sentence_quiz2} 
Który koniec tej historii jest najbardziej prawdopodobny? 
Wybierz opcję A lub B. 
Odpowiedź:  {cot}"
38;por_Latn;"Pergunta:  {question} 
Com base na pergunta, formule uma resposta numérica.  Resposta: ";"Pergunta:  {question} 
Com base na pergunta, formule uma resposta numérica.  Resposta:  Vamos pensar passo a passo. ";"A premissa:  {premise} 
Opção A:  {choice1} 
Opção B: {choice2} 
Com base na premissa, qual é a causa mais provável? 
Escolhe entre as opções A e B. 
Resposta:  {cot}";"A premissa:  {premise} 
Opção A:  {choice1} 
Opção B: {choice2} 
Com base na premissa, qual o efeito mais provável? 
Escolhe entre as opções A e B. 
Resposta:  {cot}";Vamos pensar passo a passo. ;"Veja a seguinte história:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Opção A:  {sentence_quiz1} 
Opção B: {sentence_quiz2} 
Qual é o final mais provável da história? 
Escolhe entre as opções A e B. 
Resposta:  {cot}"
39;slk_Latn;"Otázka:  {question} 
Na základe otázky formulovať číselnú odpoveď.  Odpoveď: ";"Otázka:  {question} 
Na základe otázky formulovať číselnú odpoveď.  Odpoveď:  Poďme sa zamyslieť krok za krokom. ";"Predpoklad:  {premise} 
Možnosť A:  {choice1} 
Možnosť B: {choice2} 
Na základe predpokladu, ktorá príčina je pravdepodobnejšia? 
Vyberte si medzi možnosťami A a B. 
Odpoveď:  {cot}";"Predpoklad:  {premise} 
Možnosť A:  {choice1} 
Možnosť B: {choice2} 
Na základe predpokladu, ktorý účinok je pravdepodobnejší? 
Vyberte si medzi možnosťami A a B. 
Odpoveď:  {cot}";Poďme sa zamyslieť krok za krokom. ;"Zamyslime sa nad nasledujúcim príbehom:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Možnosť A:  {sentence_quiz1} 
Možnosť B: {sentence_quiz2} 
Ktorý koniec príbehu je najpravdepodobnejší? 
Vyberte si medzi možnosťami A a B. 
Odpoveď:  {cot}"
40;quy_Latn;"Tapukuy:  {question} 
Chay tapuymanjina, uj númerowan kutichiy.  Rikun: ";"Tapukuy:  {question} 
Chay tapuymanjina, uj númerowan kutichiy.  Rikun:  Imatachus ruwasun chayta tʼukurisun. ";"Imachus kasqanta:  {premise} 
A:  {choice1} 
Imachus kanman chayta ajllay: {choice2} 
¿Imawantaj chay llakiyqa ruwakunman? 
A, B nisqamanta akllay. 
Rikun:  {cot}";"Imachus kasqanta:  {premise} 
A:  {choice1} 
Imachus kanman chayta ajllay: {choice2} 
¿Imachus aswan allin kanman? 
A, B nisqamanta akllay. 
Rikun:  {cot}";Imatachus ruwasun chayta tʼukurisun. ;"Kay willakuypi tʼukurina:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
A:  {sentence_quiz1} 
Imachus kanman chayta ajllay: {sentence_quiz2} 
¿Mayqen tukukuynin aswan allin kanman? 
A, B nisqamanta akllay. 
Rikun:  {cot}"
41;ron_Latn;"Întrebare:  {question} 
Pe baza întrebării, formulaţi un răspuns numeric.  Răspuns: ";"Întrebare:  {question} 
Pe baza întrebării, formulaţi un răspuns numeric.  Răspuns:  Să ne gândim pas cu pas. ";"Prezenta:  {premise} 
Opțiunea A:  {choice1} 
Opțiunea B: {choice2} 
Pe baza premise, care cauza este mai probabil? 
Alege între opţiunile A şi B. 
Răspuns:  {cot}";"Prezenta:  {premise} 
Opțiunea A:  {choice1} 
Opțiunea B: {choice2} 
Pe baza premisei, care efect este mai probabil? 
Alege între opţiunile A şi B. 
Răspuns:  {cot}";Să ne gândim pas cu pas. ;"Să ne gândim la următoarea poveste:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Opțiunea A:  {sentence_quiz1} 
Opțiunea B: {sentence_quiz2} 
Care este cel mai probabil final al poveştii? 
Alege între opţiunile A şi B. 
Răspuns:  {cot}"
42;rus_Cyrl;"Вопрос:  {question} 
На основании вопроса сформулируйте числовой ответ.  Ответ: ";"Вопрос:  {question} 
На основании вопроса сформулируйте числовой ответ.  Ответ:  Давайте подумаем шаг за шагом. ";"Предмет:  {premise} 
Вариант А:  {choice1} 
Вариант Б: {choice2} 
Исходя из предположения, какая причина более вероятна? 
Выбирай между вариантами А и В. 
Ответ:  {cot}";"Предмет:  {premise} 
Вариант А:  {choice1} 
Вариант Б: {choice2} 
Исходя из предпосылки, какой эффект более вероятен? 
Выбирай между вариантами А и В. 
Ответ:  {cot}";Давайте подумаем шаг за шагом. ;"Рассмотрим следующую историю:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Вариант А:  {sentence_quiz1} 
Вариант Б: {sentence_quiz2} 
Какой конец истории наиболее вероятен? 
Выбирай между вариантами А и В. 
Ответ:  {cot}"
43;slv_Latn;"Vprašanje:  {question} 
Na podlagi vprašanja oblikujte numerični odgovor.  Odgovor: ";"Vprašanje:  {question} 
Na podlagi vprašanja oblikujte numerični odgovor.  Odgovor:  Razmislimo korak za korakom. ";"Predpostavka:  {premise} 
Možnost A:  {choice1} 
Možnost B: {choice2} 
Kateri vzrok je bolj verjeten? 
Izbiraj med možnostma A in B. 
Odgovor:  {cot}";"Predpostavka:  {premise} 
Možnost A:  {choice1} 
Možnost B: {choice2} 
Na podlagi predpostavke, kateri učinek je bolj verjeten? 
Izbiraj med možnostma A in B. 
Odgovor:  {cot}";Razmislimo korak za korakom. ;"Razmislite o naslednji zgodbi:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Možnost A:  {sentence_quiz1} 
Možnost B: {sentence_quiz2} 
Kateri konec zgodbe je najverjetnejši? 
Izbiraj med možnostma A in B. 
Odgovor:  {cot}"
44;spa_Latn;"¿ Qué es lo que dice?  {question} 
Basado en la pregunta, formule una respuesta numérica.  La respuesta es: ";"¿ Qué es lo que dice?  {question} 
Basado en la pregunta, formule una respuesta numérica.  La respuesta es:  Pensemos paso a paso. ";"El argumento:  {premise} 
Opción A:  {choice1} 
Opción B: {choice2} 
Basado en la premisa, ¿cuál es la causa más probable? 
Elige entre las opciones A y B. 
La respuesta es:  {cot}";"El argumento:  {premise} 
Opción A:  {choice1} 
Opción B: {choice2} 
Basado en la premisa, ¿cuál es el efecto más probable? 
Elige entre las opciones A y B. 
La respuesta es:  {cot}";Pensemos paso a paso. ;"Veamos el siguiente relato:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Opción A:  {sentence_quiz1} 
Opción B: {sentence_quiz2} 
¿Qué final de la historia es más probable? 
Elige entre las opciones A y B. 
La respuesta es:  {cot}"
45;srp_Cyrl;"Питање:  {question} 
На основу питања, формулишите нумерички одговор.  Одговор: ";"Питање:  {question} 
На основу питања, формулишите нумерички одговор.  Одговор:  Размислимо корак по корак. ";"Предмет:  {premise} 
Опција А:  {choice1} 
Опција Б: {choice2} 
На основу претпоставке, који је разлог вероватнији? 
Изаберите између опција А и Б. 
Одговор:  {cot}";"Предмет:  {premise} 
Опција А:  {choice1} 
Опција Б: {choice2} 
На основу претпоставке, који је ефекат вероватнији? 
Изаберите између опција А и Б. 
Одговор:  {cot}";Размислимо корак по корак. ;"Размислимо о следећој причи:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Опција А:  {sentence_quiz1} 
Опција Б: {sentence_quiz2} 
Који крај приче је највероватнији? 
Изаберите између опција А и Б. 
Одговор:  {cot}"
46;swe_Latn;"Fråga:  {question} 
Utgå från frågan och formulera ett numeriskt svar.  Svar: ";"Fråga:  {question} 
Utgå från frågan och formulera ett numeriskt svar.  Svar:  Vi tänker steg för steg. ";"Förutsättning:  {premise} 
Alternativ A:  {choice1} 
Alternativ B: {choice2} 
Vilken orsak är troligare? 
Välj mellan alternativ A och B. 
Svar:  {cot}";"Förutsättning:  {premise} 
Alternativ A:  {choice1} 
Alternativ B: {choice2} 
Vilken effekt är troligare? 
Välj mellan alternativ A och B. 
Svar:  {cot}";Vi tänker steg för steg. ;"Tänk på följande berättelse:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Alternativ A:  {sentence_quiz1} 
Alternativ B: {sentence_quiz2} 
Vilket slut på historien är mest troligt? 
Välj mellan alternativ A och B. 
Svar:  {cot}"
47;swh_Latn;"Swali:  {question} 
Kwa kutegemea swali hilo, andika jibu la namba.  Jibu: ";"Swali:  {question} 
Kwa kutegemea swali hilo, andika jibu la namba.  Jibu:  Hebu tufikirie hatua kwa hatua. ";"Msingi:  {premise} 
Chaguo A:  {choice1} 
Chaguo B: {choice2} 
Kwa msingi wa msingi huo, ni sababu gani inayowezekana zaidi? 
Chagua kati ya chaguo A na B. 
Jibu:  {cot}";"Msingi:  {premise} 
Chaguo A:  {choice1} 
Chaguo B: {choice2} 
Kulingana na dhana hiyo, ni matokeo gani yanayowezekana zaidi? 
Chagua kati ya chaguo A na B. 
Jibu:  {cot}";Hebu tufikirie hatua kwa hatua. ;"Fikiria kisa hiki:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Chaguo A:  {sentence_quiz1} 
Chaguo B: {sentence_quiz2} 
Ni mwisho gani wa hadithi hiyo ambao huenda ukawa wa kweli zaidi? 
Chagua kati ya chaguo A na B. 
Jibu:  {cot}"
48;tam_Taml;"கேள்வி:  {question} 
கேள்விக்குரிய விடையை அடிப்படையாகக் கொண்டு, ஒரு எண் விடையை உருவாக்குங்கள்.  விடை: ";"கேள்வி:  {question} 
கேள்விக்குரிய விடையை அடிப்படையாகக் கொண்டு, ஒரு எண் விடையை உருவாக்குங்கள்.  விடை:  படிப்படியாக சிந்திப்போம். ";"முன்நிபந்தனை:  {premise} 
விருப்பம் A:  {choice1} 
விருப்பம் B: {choice2} 
இந்த கருத்தின் அடிப்படையில், எந்த காரணம் மிகவும் சாத்தியம்? 
A மற்றும் B விருப்பங்களில் ஒன்றைத் தேர்ந்தெடுங்கள். 
விடை:  {cot}";"முன்நிபந்தனை:  {premise} 
விருப்பம் A:  {choice1} 
விருப்பம் B: {choice2} 
இந்த கருத்தின் அடிப்படையில், எந்த விளைவு அதிகமாக நிகழலாம்? 
A மற்றும் B விருப்பங்களில் ஒன்றைத் தேர்ந்தெடுங்கள். 
விடை:  {cot}";படிப்படியாக சிந்திப்போம். ;"ஒரு கதை  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
விருப்பம் A:  {sentence_quiz1} 
விருப்பம் B: {sentence_quiz2} 
கதைக்கு எந்த முடிவு மிகவும் சாத்தியம்? 
A மற்றும் B விருப்பங்களில் ஒன்றைத் தேர்ந்தெடுங்கள். 
விடை:  {cot}"
49;tel_Telu;"ప్రశ్న:  {question} 
ప్రశ్న ఆధారంగా, ఒక సంఖ్యా జవాబును రూపొందించండి.  జవాబు: ";"ప్రశ్న:  {question} 
ప్రశ్న ఆధారంగా, ఒక సంఖ్యా జవాబును రూపొందించండి.  జవాబు:  యొక్క అడుగు ద్వారా అడుగు ఆలోచించండి లెట్. ";"ప్రమేయం:  {premise} 
ఎంపిక A:  {choice1} 
ఎంపిక B: {choice2} 
ప్రాధమిక ఆధారంగా, ఇది కారణం ఎక్కువగా ఉంది? 
ఎంపికలు A మరియు B మధ్య ఎంచుకోండి. 
జవాబు:  {cot}";"ప్రమేయం:  {premise} 
ఎంపిక A:  {choice1} 
ఎంపిక B: {choice2} 
ఈ పరికల్పన ఆధారంగా, ఏ ప్రభావం ఎక్కువగా ఉంటుంది? 
ఎంపికలు A మరియు B మధ్య ఎంచుకోండి. 
జవాబు:  {cot}";యొక్క అడుగు ద్వారా అడుగు ఆలోచించండి లెట్. ;"ఈ కింది కథను పరిశీలిద్దాం:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
ఎంపిక A:  {sentence_quiz1} 
ఎంపిక B: {sentence_quiz2} 
కథకు ఏ ముగింపు ఎక్కువగా ఉంటుంది? 
ఎంపికలు A మరియు B మధ్య ఎంచుకోండి. 
జవాబు:  {cot}"
50;tgl_Latn;"Tanong:  {question} 
Batay sa tanong, mag-formula ng numerikong sagot.  Sagot: ";"Tanong:  {question} 
Batay sa tanong, mag-formula ng numerikong sagot.  Sagot:  Mag-isip tayo nang dahan-dahan. ";"Ang premisa:  {premise} 
Pagpipilian A:  {choice1} 
Pagpipilian B: {choice2} 
Batay sa mga paniniwala, alin ang mas malamang na dahilan? 
Pumili sa pagitan ng mga pagpipilian A at B. 
Sagot:  {cot}";"Ang premisa:  {premise} 
Pagpipilian A:  {choice1} 
Pagpipilian B: {choice2} 
Batay sa paniniwala, alin ang mas malamang na epekto? 
Pumili sa pagitan ng mga pagpipilian A at B. 
Sagot:  {cot}";Mag-isip tayo nang dahan-dahan. ;"Isaalang-alang ang sumusunod na kuwento:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Pagpipilian A:  {sentence_quiz1} 
Pagpipilian B: {sentence_quiz2} 
Alin ang malamang na wakas ng kuwento? 
Pumili sa pagitan ng mga pagpipilian A at B. 
Sagot:  {cot}"
51;tha_Thai;"คําถาม:  {question} 
จากคําถามนี้ สร้างคําตอบด้วยตัวเลข  ตอบ: ";"คําถาม:  {question} 
จากคําถามนี้ สร้างคําตอบด้วยตัวเลข  ตอบ:  ลองคิดดูทีละขั้นตอน ";"ประเด็น:  {premise} 
ตัวเลือก A:  {choice1} 
ตัวเลือก B: {choice2} 
จากการตั้งใจแล้ว สาเหตุอะไรที่น่าจะเป็นมากกว่า 
เลือกระหว่างตัวเลือก A และ B 
ตอบ:  {cot}";"ประเด็น:  {premise} 
ตัวเลือก A:  {choice1} 
ตัวเลือก B: {choice2} 
จากการตั้งใจแล้ว ผลอะไรที่น่าจะเป็นมากกว่า 
เลือกระหว่างตัวเลือก A และ B 
ตอบ:  {cot}";ลองคิดดูทีละขั้นตอน ;"พิจารณา เรื่องราว ต่อไป นี้  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
ตัวเลือก A:  {sentence_quiz1} 
ตัวเลือก B: {sentence_quiz2} 
เรื่องนี้จบลงแบบไหนดี 
เลือกระหว่างตัวเลือก A และ B 
ตอบ:  {cot}"
