"  
No";
"  
Yes";
"  
Yes. The premise ""Eg gjev P som ein allosterisk forsterkar av";
"  
Yes. The premise ""Eg gjev P som ein allosterisk forsterkar av";
"  
Yes, the premise entails the hypothesis. The premise states that the rabbi was not";
"  
Yes, the premise entails the hypothesis. The premise states that rabbinarians were";
"  
Yes, the premise entails the hypothesis. The premise states that it was a simple and";
"  
Yes, the premise entails the hypothesis. The premise states that something was simple in a";
"  
Yes";
"  
No, the premise does not entail the hypothesis. The premise suggests that ending the war";
"  
Yes, the premise does entail the hypothesis. The premise provides a general framework for how";
"  
Yes, the premise entails the hypothesis because if there are no written records of these experiences in";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that Congress does not have the";
"  
Yes, the premise does entail the hypothesis. The premise states that Congress has the power";
"  
Yes. The premise states that the dominant Mendelian gene can be easily selected when it comes";
"  
Yes. The premise states that the dominant Mendelian gene can be easily selected when it comes";
"  
Yes. The premise states that Korean cooking techniques were introduced to Cuba by Chinese immigrants";
"  
Yes. The premise states that Chinese cuisine has influenced Cuban cooking, which implies";
"  
Yes. The premise ""Og sjølvsagt, eit fantastisk monument";
"  
Yes. The premise ""Og sjølvsagt, eit fantastisk monument";
"  
Yes, the premise entails the hypothesis. The premise states that human work is better than";
"  
Yes, the premise entails the hypothesis because if it were true that one human worker is better";
"  
Yes, the premise entails the hypothesis. The premise states that ""Dei banka";
"  
Yes, the premise entails the hypothesis. The premise states that ""Dei banka";
 The premise states that the legal philosophy of the Confederacy was;
"  
Yes. The premise states that the legal philosophy of the Confederation was both in form and content";
"  
Yes";
"  
Yes";
"  
Yes. The premise ""Sjølv om unge til slutt finn ut at";
  The premise states that even though effort can compensate;
"  
No";
"  
Yes. The premise ""C.P. Snow wrote about two cultures, scientific and human";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise does entail the hypothesis because if the biosphere cannot control its own";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if all Jews are responsible for one another (K";
"  
Yes, the premise entails the hypothesis because if all Jews are responsible for one another (K";
"  
Yes. The premise suggests that individuals are often torn between their own desires and obligations to";
"  
Yes. The premise ""Kompromissane og forpliktinga til liv";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise does entail the hypothesis because if the big bang theory is true,";
"  
Yes, the premise entails the hypothesis. The premise provides a basis for the hypothesis to";
"  
Yes, the premise does entail the hypothesis. The premise sets up a situation where someone";
"  
Yes. The premise ""Det generelle prinsippet om likebehandling"" implies that";
"  
Yes. The premise does entail the hypothesis because if we accept the principle of equal treatment,";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if the frog and bird are not liked,";
"  
Yes, the premise entails the hypothesis because the first sentence of the premise (""Eg";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if the total energy of a system is reduced when";
"  
Yes, the premise entails the hypothesis. The premise states that it is strange that clothes";
"  
Yes, the premise does entail the hypothesis. The premise states that it is strange when";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if adobe homes and buildings are not designed with";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Adobe homes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise states that there are many different protein forms on Earth, and the hypothesis suggests";
"  
Yes, the premise entails the hypothesis. The two regimes are so similar that they cannot";
"  
Yes, the premise entails the hypothesis. The contrast between the chaotic regime and the organized";
"  
Yes, the premise entails the hypothesis because if the geometry of a tetrahedron is";
"  
Yes, the premise does entail the hypothesis. The premise states that changes in the orientation";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise suggests that America is struggling to achieve European-style equality, which implies that";
"  
Yes. The premise suggests that there is a discrepancy between the American approach to equality";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because it provides a logical connection between the two statements.";
"  
Yes, the premise does entail the hypothesis. The description of the intricate patterns and curl";
"  
Yes. The premise states that teachers often have lower expectations for students with learning difficulties compared to";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that there is a single";
"  
Yes, the premise entails the hypothesis because if ""Dei trur dei er i ein";
"  
Yes";
"  
Yes";
"  
Yes. The premise does entail the hypothesis because if the reaction is exergonic and reaches";
"  
Yes. The premise does entail the hypothesis because if there is no way to make a hex";
  The premise states that God is not named as nature;
  The premise states that God is not named as nature;
"  
Yes, the premise entails the hypothesis. The premise states that one can actually see the";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that there is no end";
"  
Yes, the premise entails the hypothesis. The premise states that there is no end to";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
 The premise states that there are multiple microstates per macrostate;
"  
Yes, the premise entails the hypothesis. The premise states that there are multiple logarith";
"  
Yes. The premise provides a general context for the existence of molecular clouds, which are essential";
"  
Yes";
"  
Yes. The premise clearly implies that the case was never heard by the Supreme Court, which is";
"  
Yes. The premise does entail the hypothesis because if the premise is true that the debate";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that it is not logical";
"  
Yes, the premise does entail the hypothesis. The reason is that if it is not logical";
"  
Yes, the premise does entail the hypothesis. The premise states that Bios Group is";
"  
Yes, the premise entails the hypothesis. The premise states that Bios Group is involved";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because it suggests that Posada's work evolved";
"  
Yes, the premise entails the hypothesis because it provides a specific historical context in which Posada";
"  
Yes";
"  
Yes";
"  
Yes. The premise does entail the hypothesis because if the premise is true that nature has";
"  
Yes. The premise ""Det naturaliserte søk etter lukke"" implies";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that one of the interesting properties";
"  
Yes, the premise does entail the hypothesis. The premise states that technology can provide a";
"  
Yes, the premise does entail the hypothesis. The premise states that ""this was the";
"  
Yes, the premise does entail the hypothesis. The premise ""This was the mood";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes.  The premise does entail the hypothesis because if the members of a mandala are";
"  
Yes.  The premise ""Mandala-medlemmene i den uendelege";
"  
Yes, the premise entails the hypothesis. The premise states that neither of the two can";
"  
Yes, the premise entails the hypothesis. The premise states that changing either of two nucle";
"  
Yes. The premise does entail the hypothesis because if the premise is true, then it";
"  
Yes, the premise entails the hypothesis. The premise suggests that there may be a natural";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if a parent does not show respect to their sp";
"  
Yes, the premise entails the hypothesis because if a parent shows respect towards their spouse,";
"  
Yes, the premise entails the hypothesis. The first part of the premise (""Denne";
"  
Yes, the premise entails the hypothesis. The premise states that this is the first phase";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise states that before the post-war changes to the constitution, there was a";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise ""I in 1863, the people sought to create a";
"  
Yes, the premise entails the hypothesis because if it is true that all those who are sus";
"  
Yes, the premise does entail the hypothesis. The premise states that people who are sus";
 The premise states that both implicit and explicit discoveries can lead;
 The premise states that both implicit and explicit discovery can lead to;
"  
Yes.  The premise does entail the hypothesis because a spin glass is defined as an ordered";
  The premise states that a spin glass Hamiltonian is given;
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that ""a generally biologist";
"  
Yes, the premise does entail the hypothesis. The premise states that a general biologist";
"  
Yes, the premise entails the hypothesis. The premise states that the priest will disappear after";
"  
Yes, the premise entails the hypothesis. The premise states that the priest will put his";
"  
Yes";
"  
Yes";
"  
Yes. The premise does entail the hypothesis because if the state has control over the electoral";
"  
Yes. The premise does entail the hypothesis because if the state has control over the electoral";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that ""og i dag";
"  
Yes, the premise does entail the hypothesis. The premise states that ""og i dag";
"  
Yes, the premise does entail the hypothesis. The premise states that there are many reasons";
"  
Yes, the premise entails the hypothesis. The premise states that there are many reasons why";
"  
Yes, the premise entails the hypothesis. The premise states that a child's language";
"  
Yes, the premise entails the hypothesis. The premise states that there are certain differences in";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Eg kan";
"  
Yes, the premise entails the hypothesis. The premise states that the speaker was not fully";
"  
Yes, the premise does entail the hypothesis. The premise states that Lydane For";
"  
Yes, the premise entails the hypothesis. The premise states that Captain Blood is unhappy";
"  
Yes, the premise entails the hypothesis because it provides evidence for why the speaker was so kind";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that Blood was thinking about";
"  
Yes, the premise does entail the hypothesis. The premise states that blood was thinking about";
"  
Yes, the premise entails the hypothesis. The fact that a gunshot was heard coming from";
"  
Yes, the premise entails the hypothesis. The fact that there was a loud bang of";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that ""Eg was on";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The idea is that if you are wearing";
"  
Yes, the premise entails the hypothesis. The premise suggests that there is a certain type";
"  
Yes, the premise does entail the hypothesis. The premise suggests that nothing can be known";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that Ogle was not sitting";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise ""Eg gjer ikk";
"  
Yes, the premise entails the hypothesis. The premise states that there is nothing to get";
"  
Yes, the premise entails the hypothesis. The premise states that Han realized he might have";
"  
Yes, the premise entails the hypothesis. The premise states that Han realized he might have";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Men det had";
"  
Yes, the premise does entail the hypothesis. The premise states that there is something missing";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if it is true that ""it's mad";
"  
Yes, the premise entails the hypothesis. The premise states that it is normal for a";
"  
Yes, the premise entails the hypothesis. The premise states that there is no ring on";
"  
Yes, the premise entails the hypothesis. The fact that there is a wrinkle on";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise sets up a negative situation where";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if it were possible for Korleis to be";
"  
Yes, the premise entails the hypothesis because if korleis (crows) could speak";
"  
Yes, the premise does entail the hypothesis. The fact that Calverley's behavior";
"  
Yes, the premise does entail the hypothesis. The premise states that there was a sudden";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that they have been searching";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because it provides a reason why the man might be perce";
"  
Yes, the premise does entail the hypothesis. The premise states that she continued to think";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The tone of the king's voice revealed his";
"  
Yes";
"  
Yes";
"  
Yes";
"
Yes, the premise entails the hypothesis";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The first sentence of the premise (""H";
"  
Yes, the premise does entail the hypothesis. The word ""vil"" in Norwegian means """;
"  
Yes, the premise does entail the hypothesis. The first sentence of the premise (""E";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The language used in the premise (""Lang";
"  
Yes, the premise entails the hypothesis. The fact that Wolverstone remained silent while Blood";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that you were a fool";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if it were true that there was a problem with";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if Og was a storyteller and not patient";
"  
Yes, the premise entails the hypothesis. The word ""ogle"" means to stare";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if there was a big problem, then I could";
"  
Yes, the premise entails the hypothesis because the premise provides a reason why the false actions";
"  
Yes, the premise entails the hypothesis. The premise states that men were in a hur";
"  
Yes, the premise does entail the hypothesis. The fact that men were in a hurry";
"  
Yes, the premise entails the hypothesis. The premise ""You should have seen it coming";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if we give a girl to someone else, they";
"  
Yes, the premise entails the hypothesis. The premise sets up a situation where the only";
"  
Yes, the premise does entail the hypothesis. The premise ""Det er ikkje";
"  
Yes, the premise does entail the hypothesis. The premise ""Det er ikkje";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The first sentence of the premise states that """;
"  
Yes";
"  
Yes";
"  
No";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that Colonel Bishop can be";
"  
Yes, the premise entails the hypothesis. The premise ""Det kan kølna";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that the man knew he could";
"  
Yes, the premise entails the hypothesis. The premise states that ""Men han kunne";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Eg had";
"  
Yes, the premise does entail the hypothesis. The first sentence of the premise (""E";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The first sentence of the premise states that the";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Men det var";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise ""Landet er alt, sir; den suveræne er ing";
"  
No, the premise does not entail the hypothesis. The premise states that he had the";
"  
Yes, the premise entails the hypothesis. The fact that he was holding a gun in his";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The information provided in the premise (“Det";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise ""Gjennom henne";
"  
Yes, the premise does entail the hypothesis. The premise ""Gjennom h";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The first sentence of the premise (""Det er";
"  
Yes, the premise entails the hypothesis. The information provided in the premise (“Det";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that you don't understand";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that he will answer in a";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if there were 100 men on the";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise ""Han smilte litt";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The fact that Han looked away from Lord Julian implies";
"  
Yes, the premise entails the hypothesis. The premise states that Han ""gjekk";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes""";
"  
Yes, the premise entails the hypothesis because it provides additional information that supports the conclusion that Blood";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The first sentence of the premise states that """;
"  
Yes, the premise entails the hypothesis. The first sentence of the premise states that """;
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that the men in panic";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that the man is in";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that he never threw anything at";
"  
Yes, the premise entails the hypothesis. The phrase ""han kasta dei på meg""";
"  
Yes, the premise does entail the hypothesis. The premise states that ""he received warning";
"  
Yes, the premise does entail the hypothesis. The premise states that ""he had war";
"  
Yes";
"  
Yes";
"  
Yes. The premise ""For å ikkje svike den siste, leita";
"  
Yes. The premise ""For å ikkje svike den siste, leita";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
No, it does not entail the hypothesis. The premise and hypothesis are independent statements that do";
"  
Yes, the premise entails the hypothesis. The premise states that it is not what they";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The fact that Lord Julian was given permission to ride";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that the person is ""r";
"  
Yes, the premise does entail the hypothesis. The premise states that he is a fool";
"  
Yes, the premise entails the hypothesis because if Han is holding a telescope and he sets";
"  
Yes, the premise entails the hypothesis because if Han had set his telescope on this figure";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The first line of the poem (""Kva om";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes""";
"  
Yes""";
"  
Yes";
"  
Yes";
"  
Yes";
"  The premise ""Han drikk blod";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that the museum is not strong";
"  
Yes";
"  
No";
"  
Yes, the premise entails the hypothesis. The premise states that Canal Motorboats B";
"  
Yes, the premise does entail the hypothesis. The premise states that Canal Motorboats";
"  
Yes, the premise does entail the hypothesis. The premise mentions that there are ""m";
"  
Yes, the premise entails the hypothesis. The premise states that there are interesting shopping";
"  
Yes";
"  
No";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise and hypothesis are related in that they both involve ancient structures of historical significance.";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that among the top ";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The fact that gods are tolerant and helpful despite";
"  
Yes, the premise entails the hypothesis. The premise states that gods are tolerant and";
"  
Yes. The premise states that Kublai Khan built his capital in 1279";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise sets up a contrast between the";
"  
Yes. The premise suggests that East European Jews were able to assimilate into Anglo-";
"  
Yes";
"  
Yes";
"  
Yes";
"  
No";
"  
Yes";
"  
Yes";
"  
Yes. The premise does entail the hypothesis because if Napoleon had indeed gone to Catalonia and";
"  
Yes, the premise entails the hypothesis. The premise states that it is important to hide";
"  
Yes, the premise entails the hypothesis. The premise states that it is unnecessary to hide";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The entry of Greece into the common market in ";
"  
Yes, the premise entails the hypothesis. The premise states that Greece's entry into";
"  
Yes";
"  
No, the premise does not entail the hypothesis. The premise states that the temperature in";
"  
Yes";
"  
No, the premise does not entail the hypothesis. The premise states that there are six";
"  
Yes";
"  
Yes";
"  
Yes. The premise states that the largest temple ever built on Greek soil stands in Olympia,";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that Bona is a";
"  
Yes, the premise entails the hypothesis. The premise states that Bali is a center";
"  
Yes";
"  
Yes";
"  
No";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
No";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The disappearance of 100 bar";
"  
Yes, the premise entails the hypothesis because it provides a logical explanation for why the 1";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that the building is located in";
"  
Yes, the premise does entail the hypothesis. The premise states that the building's";
"  
Yes, the premise entails the hypothesis because if there was a protest in 197";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
No";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that all beaches in";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Desse kn";
"  
Yes, the premise does entail the hypothesis. The premise states that under the Sixth";
"  
Yes, the premise does entail the hypothesis. The premise states that Frederick II was able";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise and hypothesis are closely related as they both relate to the use of music in";
"  
Yes, the premise does entail the hypothesis. The fact that the Moors asked for help";
"  
Yes, the premise does entail the hypothesis. The fact that the Moors asked for help";
"  
Yes, the premise entails the hypothesis. The premise states that you can buy these things";
"  
Yes, the premise does entail the hypothesis. The premise states that you can buy multiple";
"  
Yes, the premise does entail the hypothesis. The premise states that from May to mid";
"  
Yes, the premise does entail the hypothesis. The premise states that it is from May";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if the Spanish people did not have any help,";
"  
Yes, the premise entails the hypothesis because if the Spanish were able to establish a beachhead";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise and hypothesis are logically connected in a way that makes it likely for the";
"  
Yes. The premise does entail the hypothesis because if it is true that something is scand";
  The premise;
  The premise;
"  
Yes, the premise entails the hypothesis. The premise states that Noske called in";
"  
Yes, the premise entails the hypothesis. The call to arms of 4,00";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that it was those who";
"  
Yes, the premise does entail the hypothesis. The first and largest effort to create a modern";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that the assembly will declare war";
"  
Yes, the premise entails the hypothesis. The premise states that ""Nokre at";
"  
Yes, the premise does entail the hypothesis. The premise states that freshwater fishers";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that it is not advis";
"  
Yes, the premise does entail the hypothesis. The premise states that it is not advis";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The fact that a prisoner has returned to give a";
"  
Yes, the premise entails the hypothesis because if a man in prison said he liked his me";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Sjø";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
No";
"  
Yes";
"  
Yes";
 The premise states that there are three temples dedicated to Bra;
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis because if there were no cattle to showcase at";
"  
Yes, the premise does entail the hypothesis. The word ""stampede"" in Norwegian";
"  
Yes, the premise entails the hypothesis. The premise states that ""Nearly ";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Nesten ";
"  
Yes, the premise entails the hypothesis. The premise states that Beaux Arts City Hall";
"  
Yes, the premise entails the hypothesis. The premise states that Beaux Arts City Hall";
"  
Yes";
"  
No. The premise does not entail the hypothesis. While the premise mentions that a statue";
"  
Yes, the premise entails the hypothesis because if the road goes through a natural scenic area";
"  
Yes, the premise entails the hypothesis. The premise states that the road goes through a";
"  
Yes";
"  
No. The premise and hypothesis are not related in any way. The premise is a statement";
"  
Yes";
"  
No. The premise does not entail the hypothesis. While the premise states that Perak";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The fact that the country lost its independence implies that";
"  
Yes, the premise entails the hypothesis. The premise states that there was never a parliament";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because it states that Ramses II was in power";
"  
Yes, the premise entails the hypothesis. The premise states that Ramses II was";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
No. The premise does not entail the hypothesis. While the building was built on top of";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise and hypothesis are closely related as they both revolve around the idea that something";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that the Olympic Games in ";
"  
Yes, the premise entails the hypothesis. The premise states that the Olympic Games were held";
"  
Yes, the premise entails the hypothesis. The premise sets up a scenario where people are";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that ""the most legendary";
"  
Yes, the premise entails the hypothesis. The premise states that ""the most legendary";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Pei-";
"  
Yes, the premise entails the hypothesis. The premise states that there is a swinging";
"  
Yes, the premise entails the hypothesis. The premise states that stoleløft";
"  
Yes, the premise does entail the hypothesis. The premise states that ""Stolel";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that the largest city on";
"  
Yes, the premise does entail the hypothesis. The premise states that the largest city on";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if there are two boards with hands on them";
"  
Yes, the premise entails the hypothesis. The fact that there are two planes with hands";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because it implies that there are no ice rinks available";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes. The premise states that the Liao capital in Beijing was located in the sout";
"  
Yes";
"  
Yes, the premise entails the hypothesis because the premise mentions ""side 82""";
"  
Yes, the premise entails the hypothesis. The premise states that there are two lists of";
"  
Yes, the premise does entail the hypothesis. The premise states that Caldas de";
"  
Yes, the premise does entail the hypothesis. The premise mentions that Caldas de";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that visitors to Spectrum will";
"  
Yes, the premise entails the hypothesis because if visitors are encouraged to manipulate various machines and";
"  
Yes";
"  
Yes";
"  
Yes. The premise states that tourism officials have tried to rename the area L'Estr";
"  
Yes. The premise states that the tourism board has tried to rename the area but the most";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that the house on the corner";
"  
Yes, the premise entails the hypothesis. The premise states that the building on the corner";
  The premise states that there has been a hundred years;
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis because if men have not forgotten the charm of old b";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that the museum ""spår";
