"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
No";;
"  
Yes, the premise does entail the hypothesis because if one compares the design of the H";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that Sonja ""het";;
"  
Yes";;
  Dit is langs 'n studente-slaapkamer wat bekend staan as die Quad;"n skilderagtige Jakobynse herlewingskompleks wat rondom 'n reeks binneplase beplan is. 
Hypothesis:  Die Quad is 'n kapperswinkel. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Dit is langs 'n studente-slaapkamer wat bekend staan as die Quad;"n skilderagtige Jakobynse herlewingskompleks wat rondom 'n reeks binneplase beplan is. 
Hypothesis:  Die Quad is 'n studente-slaaphuis. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that other people (the";;
"  
Yes, the premise does entail the hypothesis. The premise suggests that other people cannot make";;
  Die belangrikste gevolgtrekking wat uit ons simulasie getrek kan word, is dat outonome agente wat een of meer outokatalistiese en werk siklusse koppel;"n heeltemal redelike, indien nuwe, vorm van nie-balans, oop chemiese reaksie netwerk is. 
Hypothesis:  Ons kan 'n gevolgtrekking maak uit ons simulasie. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Die belangrikste gevolgtrekking wat uit ons simulasie getrek kan word, is dat outonome agente wat een of meer outokatalistiese en werk siklusse koppel;"n heeltemal redelike, indien nuwe, vorm van nie-balans, oop chemiese reaksie netwerk is. 
Hypothesis:  Ons kan geen gevolgtrekkings maak nie. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes, the premise entails the hypothesis. The premise states that there are a characteristic size";;
"  
Yes, the premise entails the hypothesis. The premise states that there are characteristic size distributions";;
"  
No";;
"  
Yes";;
"  
Yes. The premise and hypothesis are closely related in this case. The premise suggests that citizens";;
"  
Yes. The premise ""As die voorregte en immuniteite van burgers as";;
"  
Yes, the premise entails the hypothesis because it provides a logical connection between the two statements.";;
"  
Yes, die premise entails die hypotesis. The premise states that the murals";;
  In sommige variante oortree 'n jong meisie spesifiek godsdienstige oortuigings deur daarop te staan om op Goeie Vrydag na 'n dans te gaan;"n godsdienstige heilige dag en 'n eerbiedige dag van gebed in Chicano Katolieke huishoudings. 
Hypothesis:  'n Meisie wou op Goeie Vrydag dans. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  In sommige variante oortree 'n jong meisie spesifiek godsdienstige oortuigings deur daarop te staan om op Goeie Vrydag na 'n dans te gaan;"n godsdienstige heilige dag en 'n eerbiedige dag van gebed in Chicano Katolieke huishoudings. 
Hypothesis:  Die meisie het geweet dat sy niks anders kon doen as om kerk toe te gaan nie. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""Gewere";;
"  
Yes, the premise does entail the hypothesis. The premise states that certain types of weapons";;
"  
Yes";;
"  
Yes. The premise does entail the hypothesis because if there are three to four days left before";;
"  
Yes";;
"  
Yes";;
"  
Yes. The premise does entail the hypothesis because if two people are similar in some ways,";;
"  
Yes";;
 The premise states that Boole's idealization has problems;;
 The premise states that the Boole-idealization of;;
"  
Yes. The premise does entail the hypothesis because it suggests that the presence of a calculator";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if the premise is true that there were no";;
"  
Yes, the premise does entail the hypothesis. The premise states that the rabbis were";;
"  
Yes, the premise does entail the hypothesis. The premise states that the last century (";;
"
Die premise";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if we are to end the war and reunite";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are ballads";;
"  
Yes, the premise entails the hypothesis because it suggests that there are no written accounts of the";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that Taney held only";;
"  
Yes, the premise does entail the hypothesis. The premise states that Taney was only";;
"  
Yes. The premise states that if a dominant Mendelian gene exists in an environment, it";;
"  
No";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that the Constitution and Bill of";;
"  
Yes, the premise entails the hypothesis. The premise states that the Constitution and Bill of";;
"  
Yes, the premise does entail the hypothesis. The premise states that men are better at";;
"  
Yes, the premise does entail the hypothesis. The premise states that one month of better";;
"  
Yes, the premise does entail the hypothesis. The premise states that children knocked on";;
"  
Yes, the premise does entail the hypothesis. The premise states that children will never touch";;
"  
Yes";;
"  
Yes";;
  Dit was nie 'n bikultuur of binasionale posisie nie, maar eerder 'n posisie tussen kulture;"n hangende posisie in die ruimte. 
Hypothesis:  Dit is algemeen bekend dat daar net een kultuur was. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Dit was nie 'n bikultuur of binasionale posisie nie, maar eerder 'n posisie tussen kulture;"n hangende posisie in die ruimte. 
Hypothesis:  Daar was twee of meer kulture betrokke, met verskillende posisies. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes";;
"  
Yes";;
"  
No";;
"  
Yes. The premise does entail the hypothesis because it suggests that there are two distinct cultures";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The idea that ""All Jews are responsible for";;
"  
Yes, the premise does entail the hypothesis. The idea that ""all Jews are responsible for";;
"  
Yes";;
"  
Yes. The premise does entail the hypothesis because if life has no obligations, then it";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise suggests that the complexity of life";;
"  
Yes, the premise does entail the hypothesis. The premise states that it seems intuitively";;
"  
Yes, the premise does entail the hypothesis. The premise sets up a new situation and";;
"  
Yes, the premise does entail the hypothesis. The premise states that we are starting a";;
" The premise states that ""the general principle of like treatment,";;
" The premise states that ""the general principle of like treatment,";;
"  
Yes";;
"  
Yes";;
  Hy het uiteindelik 'n klooster;"n galery en 'n toring bygevoeg. 
Hypothesis:  Hy het drie dinge bygevoeg. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Hy het uiteindelik 'n klooster;"n galery en 'n toring bygevoeg. 
Hypothesis:  Hy het nooit iets bygevoeg nie. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the energy of the";;
"  
Yes, the premise entails the hypothesis because if there is no harmony between clothing and";;
"  
Yes, the premise does entail the hypothesis. The premise provides a reason why it is";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that adobe houses provide";;
"  
Yes, the premise does entail the hypothesis. The premise states that houses and buildings are";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that Lego World can";;
"  
Yes, the premise does entail the hypothesis. The premise states that Lego World has";;
 The premise states that there are only a hundred million different forms of;;
 The premise states that there are many different forms of proteins,;;
"  
Yes, the premise entails the hypothesis. The premise states that there are two types of";;
"  
Yes, the premise entails the hypothesis. The premise states that there are significant differences between";;
"  
Yes. The premise does entail the hypothesis because if there are changes in the values of sp";;
"  
Yes. The premise does entail the hypothesis because if there are changes in the values of sp";;
"  
Yes";;
"  
Yes";;
  Sy het toe Mexican Village geskryf;"n roman wat baie van die Mexikaanse volksgewoontes en tradisies ingesluit het. 
Hypothesis:  Sy het nie veel van Meksikane geweet nie. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Sy het toe Mexican Village geskryf;"n roman wat baie van die Mexikaanse volksgewoontes en tradisies ingesluit het. 
Hypothesis:  Sy het Mexikaanse dorpie geskryf. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes";;
"  
Yes";;
"  
Yes. The premise suggests that America has influenced European thinking about economic equality, which in turn implies";;
"  
Yes. The premise does entail the hypothesis because it suggests that European societies are concerned about";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise describes a scene where Arabes";;
"  
Yes, the premise does entail the hypothesis. The description of the Arabesque and cur";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise suggests that individuals have complete control";;
"  
Yes, the premise entails the hypothesis. The premise suggests that there is a two-";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes. The premise ""God created all nations equally"" implies that each nation has a unique";;
"  
Yes. The premise does entail the hypothesis because it sets up a logical connection between the idea";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes. The premise does entail the hypothesis because if there are an infinite number of things (";;
"  
Yes. The premise does entail the hypothesis because if there are an infinite number of things that";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes. The premise states that most houses have a cradle or birthplace where prayers";;
 The premise states that for every microstate there is a macro;;
"  
Yes, the premise does entail the hypothesis. The premise states that the number of micro";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the case has never";;
"  
Yes, the premise does entail the hypothesis. The premise sets up a situation in which";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that it would not be";;
"  
Yes, the premise does entail the hypothesis. The premise states that it would not be";;
"  
Yes, the premise does entail the hypothesis. The premise states that Bios Group is";;
"  
Yes, the premise does entail the hypothesis. The premise states that Bios Group is";;
"  
Yes";;
"  
Yes. The premise does entail the hypothesis because if there are no symptoms of a serious";;
"  
Yes, the premise does entail the hypothesis because it provides a reason why Jose Guadalu";;
"  
Yes";;
"  
Yes. The premise does entail the hypothesis because if children view their perceptions as interpret";;
"  
Yes. The premise does entail the hypothesis because it implies that children's understanding of their";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise provides evidence for the hypothesis by";;
"  
Yes, the premise does entail the hypothesis. The premise states that this was the spirit";;
 The premise states that the pachuco is perceived by;;
 The premise states that pachuco is associated with Mexican Americans;;
"  
Yes, the premise does entail the hypothesis because if the grandfather said ""Let's";;
"  
Yes, the premise entails the hypothesis because the first sentence in the premise states that the";;
 The premise states that different mandalas have different fundamental frequencies;;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that altering one codon";;
"  
Yes, the premise entails the hypothesis because if the anticodon-codon matching mechanism";;
"  
Yes. The premise does entail the hypothesis because if something is naturally selected, it can be";;
"  
Yes";;
"  
Yes. The premise suggests that children who grow up around their parents' high standards are more likely";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that a child will have";;
"  
Yes, the premise does entail the hypothesis. The premise states that children will have respect";;
"  
Yes, the premise does entail the hypothesis. The first part of a disaster chain is";;
"  
Yes, the premise does entail the hypothesis. The first step in spreading a personal injury";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that there were only a limited";;
"  
Yes, the premise entails the hypothesis because it provides evidence for why there were limited amend";;
"  
Yes";;
"  
Yes";;
"  
No";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
  Die pachuco-taal;"n kombinasie van Engels en Spaans, wat ook cale genoem word, was 'n fassinerende samesmelting wat uit baie taalkundige bronne getrek is. 
Hypothesis:  Die boustene van die pachuco-taal is Engels en Spaans. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Die pachuco-taal;"n kombinasie van Engels en Spaans, wat ook cale genoem word, was 'n fassinerende samesmelting wat uit baie taalkundige bronne getrek is. 
Hypothesis:  Die pachuco-taal is 'n samesmelting van Duits en Spaans. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise provides a general explanation for why";;
"  
Yes, the premise does entail the hypothesis. The premise provides a general framework for studying";;
"  
Yes, the premise does entail the hypothesis. The fact that the priest disappears after placing";;
"  
Yes, the premise does entail the hypothesis. The premise states that the priest will put";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that human dignity should be";;
"  
Yes, the premise entails the hypothesis because if we take human dignity seriously as a basic";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are differences between";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are differences between";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that Captain Blood had a";;
"  
Yes, the premise does entail the hypothesis. The premise states that Captain Blood's";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that you want to reach";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that it would be better";;
"  
Yes, the premise does entail the hypothesis. The premise states that they should have arrived";;
"  
Yes, the premise does entail the hypothesis. The premise states that bloed's";;
"  
Yes, the premise does entail the hypothesis. The premise states that bloed had thoughts";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that Ek was on the";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that you were saved by him";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the underwear";;
"  
Yes, the premise does entail the hypothesis. The premise states that the underwear";;
"  
Yes, the premise entails the hypothesis because the first sentence of the premise (""En w";;
"  
Yes, the premise entails the hypothesis because if there is nobody around to talk to, it";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the king's";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""Hy het b";;
"  
Yes, the premise does entail the hypothesis. The first sentence of the premise (""Hy";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""Selfs nou";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""Selfs nou";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""ek neem";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""ek neem";;
"  
Yes, the premise entails the hypothesis. The first sentence states that her hair was crimp";;
"  
Yes, the premise entails the hypothesis. The fact that her hair was curled implies that";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that you will not see";;
"  
Yes, the premise does entail the hypothesis. The first sentence of the premise states that";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis because if it were not for his uncle's";;
"  
Yes, the premise does entail the hypothesis because it provides a reason why my uncle would not";;
"  
Yes, the premise does entail the hypothesis. The premise states that you were unable to";;
"  
Yes, the premise does entail the hypothesis. The premise states that you saw them and";;
 The premise states that both Colonel Bishop and Calverly are;;
"  
Yes";;
  Aan die hoof van die metgesel, Ogle gevind sy vordering geblokkeer deur bloed, wat hom gekonfronteer;"n skielike strengheid in sy gesig en in elke lyn van hom. 
Hypothesis:  Ogle het geen teenstand ondervind terwyl hy vordering gemaak het nie. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Aan die hoof van die metgesel, Ogle gevind sy vordering geblokkeer deur bloed, wat hom gekonfronteer;"n skielike strengheid in sy gesig en in elke lyn van hom. 
Hypothesis:  Ogle se vooruitgang is deur bloed geblokkeer, wat hom streng aangekyk het terwyl hy hom met argumentatiewe bedoeling ontmoet het. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that you have hunted";;
"  
Yes, the premise does entail the hypothesis. The premise states that you have hunted";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that you will always be";;
"  
Yes, the premise does entail the hypothesis. The phrase ""ek sal altyd d";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
  Wolverstone se stem het die ander se selfversekerde opgewondenheid traag en bespotend beantwoord, en terwyl hy gepraat het, het hy na Bloed se kant toe gevorder;"n onverwagte bondgenoot. 
Hypothesis:  Wolverstone het sy mening uitgespreek in 'n toon wat stadig was as hy op pad na Bloed. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Wolverstone se stem het die ander se selfversekerde opgewondenheid traag en bespotend beantwoord, en terwyl hy gepraat het, het hy na Bloed se kant toe gevorder;"n onverwagte bondgenoot. 
Hypothesis:  Wolverstone het stil gebly terwyl hy van Blood weggeloop het. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
No, it does not entail the hypothesis. The premise only states that Jy was an";;
"  
Yes, the premise does entail the hypothesis. The premise states that Jy was an";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise provides evidence for the hypothesis by stating";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The loss of patience is a logical consequence of";;
"  
Yes, the premise does entail the hypothesis. The premise states that Ogle is imp";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the person was hast";;
"  
Yes, the premise does entail the hypothesis. The premise states that the person was hast";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that you saw danger and the";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that everything is included in";;
"  
Yes, the premise does entail the hypothesis. The first sentence of the premise (""This";;
  Hy waargeneem haar bleek en gespanne, met gesplete lippe en geskrik oë wat gefokus op hom;"n angstige getuie van hierdie besluit van haar lot. 
Hypothesis:  Sy het geweier om selfs na hom te kyk. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Hy waargeneem haar bleek en gespanne, met gesplete lippe en geskrik oë wat gefokus op hom;"n angstige getuie van hierdie besluit van haar lot. 
Hypothesis:  Sy het na hom gekyk. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that she was scared";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
" The premise ""Ek het hom doodgemaak";;
" The premise ""Ek het hom doodgema";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that Colonel Bishop has been";;
"  
Yes, the premise does entail the hypothesis. The fact that Colonel Bishop is ""opgew";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""Ek het";;
"  
Yes, the premise does entail the hypothesis. The first sentence of the premise (""E";;
"  
Yes, the premise entails the hypothesis. The premise states that there is no hope for";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that the speaker will not dimin";;
"  
Yes, the premise does entail the hypothesis. The premise states that the speaker will not";;
  Daar was hier heel duidelik 'n vae bedreiging;"n opstandige gees wat hy nie kon verstaan nie. 
Hypothesis:  Hy het nie die bedreiging wat hom in die gesig staar, verstaan nie. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Daar was hier heel duidelik 'n vae bedreiging;"n opstandige gees wat hy nie kon verstaan nie. 
Hypothesis:  Hy het baie duidelik verstaan, die bedreiging wat voor hom was. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if the cannoneer's intention is to";;
"  
Yes, the premise entails the hypothesis. The premise provides additional information that supports the conclusion";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if Sy had closed the door behind him, he";;
"  
Yes, the premise entails the hypothesis because if Sy has closed the door behind him, it";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that both her and you are";;
"  
Yes, the premise does entail the hypothesis. The word ""deur"" in both the";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The first sentence of the premise (""As";;
"  
Yes, the premise does entail the hypothesis. The first sentence of the premise (""As";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis because it provides reasons why something should be done and";;
"  
Yes, the premise entails the hypothesis. The premise states that the person is not interested";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that Hy was motivated";;
"  
Yes, the premise entails the hypothesis. The premise states that Hy was motivated to";;
"  
Yes";;
"  
No";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the lordship is";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if the words are not remembered, then they cannot";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because it provides additional information that supports the conclusion that he";;
"  
Yes, the premise entails the hypothesis. The premise states that ""Hy het 'n";;
"  
Yes, the premise does entail the hypothesis. The premise provides evidence for the hypothesis by";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The fact that Lord Julian was sworn at";;
"  
Yes, the premise does entail the hypothesis. The premise states that Hy het vir Lord";;
"  
Yes";;
"  
Yes";;
  Hy het 'n stap teruggetrek;"n verwarde, impotente man. 
Hypothesis:  Hy is glad nie geraak nie. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Hy het 'n stap teruggetrek;"n verwarde, impotente man. 
Hypothesis:  Hy was geskok en verbaas. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The first sentence states that ""the young master";;
"  
Yes, the premise entails the hypothesis because if ""Die jong meester"" (the";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""nobody";;
"  
Yes, the premise does entail the hypothesis. The premise provides a reason why the crew";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if the premise is true that we are in";;
"  
Yes, the premise does entail the hypothesis because if the donkey is not exotic and";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because it provides additional information that supports the conclusion that the";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that the man has never been";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if Lord Julian Wade has come near, then";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The first sentence of the premise states that";;
"  
Yes, the premise does entail the hypothesis. The first sentence of the premise (""J";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that he approved it and";;
"  
Yes, the premise entails the hypothesis because if the premise is true then it follows log";;
"  
Yes, the premise does entail the hypothesis. The fact that Julian said he had nothing to";;
"  
Yes, the premise does entail the hypothesis. The first sentence of the premise ""E";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that Hy is excessively rid";;
"  
Yes, the premise entails the hypothesis because it implies that if Hy wants to be more ch";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise ""Wat as hy kan";;
"  
Yes, the premise entails the hypothesis because it implies that something is possible for which there is";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that Hy is a blood";;
"  
Yes, the premise entails the hypothesis. The premise states that Hy is a blood drink";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the museum is not";;
"  
Yes, the premise does entail the hypothesis. The premise states that the museum is not";;
"  
Yes. The premise states that you can see the northern lights during the summer solstice and";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that Canal Motorboats";;
"  
Yes, de premise entails de hypotesis. De premise states dat Canal Motorbo";;
"  
Yes, the premise does entail the hypothesis. The premise mentions that there are interesting places";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are interesting places";;
"  
Yes";;
"  
No";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
 The premise states that the Ming tombs were once a;;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that one of the ";;
"  
Yes, the premise does entail the hypothesis. The premise states that one of the ";;
"  
Yes";;
"  
Yes";;
"  
Yes. The premise states that Kublai Khan established his capital in 1279";;
"  
Yes. The premise states that Kublai Khan established his capital in 1279";;
"  
Yes, the premise does entail the hypothesis. The premise sets up a contrast between the";;
"  
Yes, the premise does entail the hypothesis. The premise sets up a contrast between the";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
No";;
"  
Yes. The premise does entail the hypothesis because if Napoleon had attacked and destroyed the monastery";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if all portable belongings are taken away from";;
"  
Yes, the premise does entail the hypothesis. The premise states that all portable belong";;
"  
Yes, the premise does entail the hypothesis. The premise states that Milreu was a";;
