,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
126,Брајан је пробао да се придружи хокеј тиму ове године.,"Нажалост, није ушао у тим.",Тренер је рекао да мора да буде бржи на клизачима.,Брајан је провео целу зиму радећи на својим брзинама.,На крају је ушао у тим.,Одлучио је да не проба да се укључи у тим.,1
127,Кели је скијала када је изненада чула велику узбуну иза себе.,Погледала је уназад и видела зид снега како јој се приближава.,Паничила се и почела је да брже скија по склону.,"Када је лавина дошла до ње, брзо је скочила у нека дрвећа.",Кели је зграбила дрво и чврсто се држила.,Кели је успела да се скија горе на лавини.,1
128,Хари је заиста желео да види нови филм Звезданих ратова.,Чекао је у реду у касми на дан отварања.,Он је могао да купи карту за себе.,Гледао је цео филм.,Хари је био срећан што је видео филм са својим пријатељима.,Хари је стварно волео филм.,2
129,Марк је следећег дана почео на новом послу.,Био је нервозан због тога што је био око толико непознатих људи.,Он је једва спавао претходну ноћ због анксиозности.,"Када је ушао у зграду, многи људи су га топло поздравили.","Он је отпуштен тог истог дана, и изашао из зграде.",Схватио је да ће се савршено прилагодити новом послу.,2
130,Елен је имала ћерку која је спавала у креветчи у својој соби.,"Једног јутра Елен није чула како јој беба вређа, па је отишла да провери.",Њена ћерка се није кретала нити је дишала!,Елен је у страшној паници позвала полицију.,Елен је била ужасно уплашена.,Елен је била веома смирена.,1
131,Перл је збирала ЦД-е са грозним насловима.,Она је ценила џез-CD са два дельфина у комбинацији са фотошопом.,Њена сестра је украла ЦД док је била љута на њу.,Срце је Перл потрцало и она је молила сестру да јој га врати.,Пирлова сестра се надала да ће јој угодити.,Пирлове сестре је била освета.,2
132,Ана је отишла на плажу.,"Прилива је нестала, и она је видела базен од прилива.",Отишла је да је прегледа и била је одушевљена свим животом у њој.,"Било је риба, морски језгури, морске звезде - било је невероватно!",Ана је посматрала морски живот и размишљала о чудесима природе.,Ана је била разочарана својим путовањем до обале.,1
133,Бриана се горко жалила када је њена породица отишла на кампинг.,"То би јој уништило косу и нокте, а није било телевизора.","Међутим, она је заборавила ове ствари када је пробала свој први С'МОР.",У трепету је гледала огромно звездно небо.,Бриана је мрзела с'море.,Бриана је волела с'море.,2
134,Шеј је пешачио у шуми.,Онда је схватила да је изгубљена!,Покушавала је да не паничи.,Она је повратила своје кораке док није пронашла пут назад у камп.,Шеј је коначно пронађен недељама касније у шуми.,Шеј је осетио огромно олакшање.,2
135,Трои је био најбољи играч у свом кошаркашком тиму.,Његов тим је играо у шампионату вечерас.,Трој је постигао 56 поена и освојио утакмицу за свој тим.,После утакмице је носио огроман трофеј.,Одлучио је да можда кошарка није за њега.,Следећег јутра открио је да је на насловној страници новине.,2
136,Симон је добио трувовање храном.,Размислио је о свим ресторанима које је недавно посетио.,Позвао је своје пријатеље који су јели с њим у тим приликама.,Један од његових пријатеља је рекао да је такође болестан од трувожења храном.,Открили су који је ресторан то био.,Оне су се вратиле да би јеле у истом ресторану.,1
137,Арнолд се плашио птица.,Једног дана је био на пикнику.,У далеци је летела птица.,Пао је на његову храну.,Арнолд је био смирен и срећан што је видео птицу.,Арнолд је у ужасу викао!,2
138,Једног дана је Адам купио два ваздушна пиштоља.,"Један је дао свом сину, Кристијану.",Кристијан је желео да се игра са пиштољима у кући.,Кристијан је пуцао из пиштоља и сломио екран телевизора.,Адам је узео пиштољ од Кристијан.,Адам је био веома поносан на Кристијан.,1
139,Кип је био разочаран што није било снега.,Он је мрморио својим родитељима да без њега није Божић.,Рекли су му да оде у кревет.,Кип је педајући отишао у своју собу и на крају заспао.,"Да би га развеселили, Кипови родитељи су га одвели на Флориду.",Кип је сањао о снегу.,2
140,Бен је увек желео да научи да свира клавир.,"Сада када су његова деца одрасла, он има више слободног времена.",Бен се уписује на часове клавира са локалним туторима.,"Иако је тешко, он је посвећен учењу.",Предаје се јер је претешко.,Побољшава се са сваком лекцијом.,2
141,Бенсона је у школи малтретирао други дечак.,Бенсон је почео да губи сан због тога.,На крају је о томе рекао својим учитељима у школи.,Учитељи су обратили се насилнику о том проблему.,Они су га хвалили.,Насилник је био искључен.,2
142,Мој отац и ја смо у дворишту правили простор за биљке.,Неколико минута смо копали како бисмо направили простор.,Нашао сам кутију која је била закопана у земљу.,"Када сам погледао унутра, била је мртва животиња.",Ставио сам кутију на место и нашао друго место за копање.,Била сам тако срећна.,1
143,"Карен је отишла у школу, остављајући свог партнера Сема.","Сем је недостајао Карен, али је имао план да то поправи.","У дуги викенд, Сем је отишао возом на север да посети Карен.","Карен, којој је недостајао Сам, имала је план да то исправи.","Она је отишла кући да види Сем, а они су се пропустили!","Раскинула је са Семом, оставивши га са сломљеним срцем.",1
144,Џои је био на кампу са својим пријатељима.,Желео је да запали ватру да пече сладолед.,Нашао је у шуми палице и дрво.,Користио је упалицу да запали дрво.,Џои је мрзео камповање.,Затим је испекао сладкише.,2
145,Дијана чисти канцеларијске зграде за живот.,Она праје тоалети и штрије подове.,У петак је била веома болесна и мучнила се на послу.,Није могла да узме слободан дан.,Јела је огроман ручак.,Поврнула је у тоалет.,2
146,Џејсонова најбоља пријатељица се венчава у Индији следеће године.,Џејсон одлучује да жели да научи хинди пре венчања.,Најмио је наставника и свакодневно вежба да говори хинди.,"Када је дошао дан венчања, Џејсон је говорио хинди!",Сви су били импресионирани што је Јасон постао двојезичан.,Јасонова најбоља пријатељица није била импресионирана.,1
147,Тод и Ешли су се забављали.,Тод се раздразнио на Ешли.,Он је тихо обрађивао жену.,Ешли се узнемирила.,Била је љута јер Тод није престајао да говори.,Одлучила је да не разговара ни са Тодом.,2
148,Моји пријатељи и ја смо позвани на забаву на колеџу.,Сви смо се облачили за узбудљив догађај.,Сви смо били толико узбуђени што смо се забављали!,На забави смо све време плесали.,Мрзимо забаве.,Имали смо сјајну поруку!,2
149,Келли и њене пријатељице су одлучили да организују забаву печења.,Девојке су одлучиле да испеку пецива.,Пекли су колачиће од чоколаде и овесне кашике.,"Након што су завршили, упаковали су их у вреће.",Они су их раздавали свим суседима.,Сви су хамбургери били давани пролазницима.,1
150,Девојке су пуно проблема.,Понекад кажу ствари које не мисле.,Последњи са којим сам разговарао ме је лагао.,Рекла ми је да је богата.,На крају је постала веома сиромашна.,Ово доказује да девојке стално говоре истину.,1
151,Био је веома хладан дан.,Снег је падао веома снажно неколико сати.,Људи из Лансинг-а остали су у својим кућама без струје.,Бурја је у град донела три стопе снега.,Школа је била отворена дуже него обично.,Школа је била отказана.,2
152,Лари је играо голф са својим оцем.,Лари се осећао веома енергично од своје кафе раније.,Ударио је лопту што је више могао на првом удару.,Лари је направио дупку у једном!,Лари је био љут због свог резултата.,Лари је био узбуђен што је постигао своју прву рупу у једном.,2
153,Кенди се пробудила узбуђена јер је био њен рођендан.,Али цео дан је прошао и нико јој није дао никакве поклоне.,Почела је да се осећа депресивно и мислила је да су сви заборавили.,"Касније је постала гладна и отишла је у кухињу, али се зауставила.",Није хтела да се прехрће од депресије.,Веома је срећна што јој нико није дао поклоне.,1
154,Недавно сам постао веома незадовољан својим послом.,"Одлучио сам да се осврнем на нову, да бих био срећан.",Подносио сам пријаве на много различитих места.,Једно место ме је позвало и отишао сам на интервју.,Одлучио сам да пођем на трчање.,Отишао сам на интервју и био сам срећан што сам добио посао.,2
155,Линдзи је заиста желела нови пар ципела.,Обућа је била веома скупа.,Одлучила је да уштеди свој новац.,"После неколико недеља, могла је да добије ципеле.",Она је потрошила новац на излете на ручак.,Купила је ципеле и уживала у њима.,2
156,Ора је била осјерена да се не тушира како би се придружила женском братству.,Није могла да замисли да недељу дана остане без чисте воде!,Онда је помислила на лажну рупу.,Нису рекли да Ора не може да се купа!,Ора се купала.,Ора се туширала.,1
157,На Аллисонов 25. рођендан њена породица је одвела на бинго.,Никада раније није играла и била је нервозна.,"Након што су јој показали како се игра, била је одушевљена да почне.",На четвртом бинго.,Алисон планира да поново плати бинго у будућности.,Алисон мисли да је бинго досадан.,1
158,Нија је хтела да види параду у центру града.,Ухватила је три аутобуса.,Онда је отишла метроом.,Дошла је у центар баш на време.,Нија је потпуно пропустила параду.,Нија је била узбуђена што је могла да гледа параду.,2
159,Мадлин је била одушевљена што је добила нову торбицу у Саксу.,Њена мајка је одвела у одељење за торбе.,Маделин је одмах видела ружичасту торбу коју је волела.,Није могла да верује колико је то било невероватно.,Маделин је била узнемирена због своје нове куповине.,Мадлин је била срећна што јој је мајка купила торбу.,2
160,Том је купио нову биљку.,Он га је чувао поред свог кревета.,Биљка је престала да расте.,Његова мајка је рекла да му је потребна сунчева светлост.,Зато је Том преместио биљку на прозор.,Том је затворио прозоре како би блокирао што је више могуће сунчеве светлости.,1
161,Ју Дарвиш је питчер за Тексаске Реинџерсе.,Последње две сезоне је био повређен.,"Према извештајима, он је коначно здрав и способан да игра.",Фанати Рејџерса се надају да ће он бити вођа њихових питчера.,Фанати Рејџера желе да оде.,Фанати Рејџера се радују његовом повратку.,2
162,Ејвери је добио домаћи задатак који је требало да заврши за две недеље.,Она је одмах прочитала задатак.,Направила је распоред и поделила га на задаче за сваки дан.,Завршила је задатке на предвиђени дан.,Ејвери је напустио школу.,Ејвери је завршила свој пројекат раније.,2
163,Честер је једног поподнева одлучио да оде у трговачки центар.,"Он не намерава да купи ништа, већ само да се прошета.","Међутим, он види да је на распродаји једна веома лепа кошуља.",Честер купује кошуљу јер је цена тако добра.,Честер је одмах бацио кошуљу коју је купио.,Честер је био веома задовољан кошуљом коју је купио.,2
164,Џина је схватила да мора да ради на свом извештају.,Пропустила је цео дан и остала јој је само једна да га заврши.,Седела је и почела да ради.,Њена мајка је хтела да праје посуђе.,Џина је желела да није изгубила дан.,Џина је била срећна што је изгубила дан.,1
165,Уторци су прање веша у мом стану.,Били смо превише заузети последњих неколико уторак.,Сада скоро нисмо имали чисте одеће.,Обликован сам глупо и још увек смрдим.,Све моје одеће сјајно мирише.,Одмах ћу опрати веш.,2
166,Било је леп летњи дан напољу.,Боб је одлучио да иде на шетњу у парк.,Боб је шетао дуж стазе и дивио се пејзажу.,Нашао је новчаник од двадесет долара на земљи.,Био је срећан.,Био је разочаран.,1
167,Меган и Скот су желели да виде свој омиљени бенд на концерту.,"Билете су биле у продаји на интернету, а сервер је био веома заузет.",Меган и Скот су се трудили да купе карте.,"У тренутку када је концерт био готово распродајен, Меган је пронашла две карте.",Било им је тако олакшано.,Били су разочарани.,1
168,Џон је управо завршио средњу школу и био је на путу да пође на колеџ.,"Његова мајка му је помогла да спакује све своје ствари, а он је одјео.","Када је стигао тамо, отишао је да провери свој дом.","Његов нови цимер је био тамо, и они су се слагали.",Прошетали су се око кампуса и позвали их на забаву.,Мислио је да ће колеџ бити несрећан.,1
169,Џаки је много година трчала на дуге стазе.,"Упркос свом веома пуном айподу, музика јој је досадила.",Један од њених пријатеља тркача препоручио је књигу са звуком.,Наладила је нови релиз на свој ИПод.,Слушала је књигу док је трчала.,Била је срећна што јој се музика никада не досађује.,1
170,Аријеви пријатељи су је изазвали да проведе ноћ у локалној кућу с духовима.,Ари је привремено пристао.,Ушла је кроз прозор куће.,Затим се прикупила са својим одећем у углу.,Она је издржала целу ноћ.,Покушала је да запали пећ и направила је вечеру.,1
171,Сам је возио с пуштеним светлима.,Један од његових фара је био испаљен и мислио је да је то сигурније.,Он је заустављен прошле ноћи.,Полицајац му је дао глому и рекао му да је поправи.,Сам није имао аутомобил.,Сам је био несрећан.,2
172,"Једна ноћ, група пријатеља је одлучила да се игра са Ouija домом.","Све је било у забави, и играли су сат времена.","Након што су се играли, легли су у кревет.","Неколико минута касније, чули су чудан звук ударања по поду.",После тога су спавали дубоко.,Сви су се природно уплашили.,2
173,Јан је био уморен од зиме и хладног времена.,Видела је рекламу за аутомобил који би био одличан за путовање.,Купила је ауто и планирала пут на мапи.,Возила је кроз целу државу Флориду.,Зима је сезона у којој се највише скијача налази.,"Када је стигла кући, стало је топло због пролећа.",2
174,Нил је управо стигао у Иран.,Био је одушевљен градовима и селима.,Мислио је да су планине тако лепе.,Језик и људи су били дивни.,Био је срећан што је био у Ирану.,Одмах је отишао.,1
175,Андреј је био сам већ много година.,"Док је желео девојку, није знао како да приступи било коме.",На крају је један пријатељ представио Андреју једној пријатној младој дами.,Ендру је позвао на састанак.,Девојка је рекла да за Андреја.,Девојка је хистерично плакала.,1
176,Ејми је каснила на авион.,Убрзала се кроз аеродромску безбедност.,Она је могла да чује своје име преко звучника близу своје капије.,Бржела је најбрже и поздравила узнемирену стјуардесу.,Ејми је затим напустила авион и одвела се кући.,Ушла је на авион баш на време.,2
177,Ана је била на плажи.,Успала је на топлом сунцу.,Пробудила се три сата касније.,Очи су јој се прошириле док се гледала у огледало.,Ана је била изузетно бледа.,Ана је била веома изгорела од сунца.,2
178,Пол је осећао храброст па је покушао да се придружи војсци.,Војска је рекла да је превише слаб да би се придружио.,"Пол се није одушевио, па је покушао да се придружи морнарици.",Морнарица га је одбила јер Пол није знао да плива.,Пол је био веома разочаран.,Пол је био веома задовољан својим резултатима.,1
179,Мачка је прогонила миша преко празног складишта.,"Устрашен, гризач је побрзао што је могао.",Већа мачка је остала близу.,Био је ужасан.,Миш је побегла.,Мачка је одлучила да легне и да поспа.,1
180,Нил је летео у Русију.,Тамо је посетио туристичке локације и видео пријатељске становнике.,Он је сматрао да је Русија живописна и живописна.,Такође је имала велику и богату историју.,Нилу је тај пут био стимулативни.,Нилу је путовање било досадно.,1
181,Мери прави свеће.,Она ужива у томе као хоби.,Мери је једну однела пријатељици као поклон.,Сви су волели свеће и молили су да купију једну.,Мери је била веома срећна.,Мери је осећала да је неко не цени.,1
182,"Било је лето, а Џини и њој се сеђа досадила.",Одлучили су да гледају музичке видео записе.,Било је и музички видео канал или канал за забаву црнца.,Они су изабрали да гледају црни канал за забаву.,Џина и њена сестра су се лепо провели заједно.,Џина није волела да проводи време са својом сестром.,1
183,Била сам веома узбуђена што ћу на плажу.,Уверила сам се да сам све спаковала у аутомобил.,Отишао сам тамо и обукао свој пливачки штак.,"Када сам изашао из собе, почела је да пада.",Отишао сам да пливам и уживам у сунцу.,"Моји планови су били уништени, и отишао сам кући.",2
184,Арнолд се плашио мачака.,Мисли да су сви они застрашујући.,Једног дана је отишао у кућу своје девојке.,Његова девојка има мачку.,Арнолд је волео мачке своје девојке.,Арнолд је напустио своју девојку.,2
185,Леа је студент са пуним радним временом који жели посао са скраћеним радним временом.,Леа претражује на Краигслисту и нађе позицију почетног нивоа.,"Леа се пријављује, а следећег дана добија позив за интервју.",Леа иде на интервју и заиста добро се снажује.,Леа је отпуштена.,Леа је добила посао.,2
186,Учерашњи дан сам био у Тоис Р Ус.,Морао сам да купам поклоне за моје рођаке.,Наплатио сам кочију.,Срећом сам сазнао да су имали попуст.,Купио сам сваки мишевић који су имали.,"Јер сам ја мршав, то ми је одговарало.",2
187,Боб је возио из Тексаса на Флориду.,Одбио је да се заустави у хотелу на одмор.,"После петнаест сати вожње, био је уморен.",Почео је да заспива.,Боб је осећао велику енергију.,Боб је одлучио да преноћи у неком оближњем хотелу.,2
188,Имам своје карте за концерт.,Ја сам отишао у Чикаго.,Нисам могла да верујем да се видим са Битлом.,Био сам 30 редова од предњег дела сцене.,Ја сам се навијао када је Битлз дошао у светлост.,Почео сам да се неуправљиво трепнем од страха и страха.,1
189,Маги је приметила да је палице летело око њеног плафона.,Паничила је и није знала шта да ради.,Одлучила је да се сакрије у својој соби и да позове дезинсектора.,Изненада јој у собу улази мачка и нешто држи у устима.,Мачка је Мэгги била мртва.,То је био палци.,2
190,Било је лето.,А Џефова соба је била веома врућа.,Он је видео тамне завесе које су рекламиране да блокирају топлоту.,И мислио је да ће то направити значајну разлику.,Џо је волео како су завесе пуштале у собу топлоту и светлост.,Џо је био задовољан када је ставио нове ролетке.,2
191,Џојев ујак му је показао мермер.,Он је дразнуо Џоија и рекао да је то његово стакло око.,Касније је Џои играо са пријатељима.,Један дечак је рекао да је његова мермерка била мачије око.,Џои је знао да га сви само подстичу.,Џои је узео своју бејзбол и отишао кући.,1
192,"Око 11 сати ујутру, школни ватропасни аларм је зазвукао.","Студенти су се утрчали ка вратима, а онда су се зауставили када су се чули пуцњави.",Затим им је учитељка рекла да се сакрију испод столова.,Студенти су се устрашиле и потапале под своје столове.,Чекали су док инцидент не заврши.,"Затим су играли главе доле, палци горе.",1
193,Јефрисовом путем је нестало батерије.,У потпуности је престало да ради.,Требало је да их замени.,Зато је отишао у продавницу да купи још.,Овај пут је покупио батерије које се могу поновно пунити.,Он је осигурао да сви његови рачуни буду на време плаћени.,1
194,Увек сам желео да могу да возим педесет километара у једном тренутку.,Сада могу да возим само око двадесет миља одједном.,Нашао сам тренера за бициклизам који ми је помогао да напредујем.,Неколико месеци сам напорно радио и јео све праве хране.,Сада могу да возим 30 миља.,Тако сам из форме да не могу ни да возим велосипед.,1
195,"Моја породица је увек волела камповање, ја не толико.",Последњи пут сам се камповао у лето када сам имао 19 година.,Прво нам се сломио аутомобил и неколико сати смо остали у топлоти.,"Погорела сам руку док сам кувала вечеру, пао у језеро и појели ме буба.",То је било најбоље путовање у мом животу.,Одлучио сам да више никада не идем на кампинг.,2
196,Професор је дао мојој класи есеј.,"Када сам напустио учионицу, заборавио сам на то.","Неколико дана касније, мој школски друг ми је послао поруку да ме пита да ли сам то урадио.",Био сам тако узнемирен јер сам потпуно заборавио!,Била сам забринути за моју оцену.,Била сам сигурна да ћу добити pet ако не предам есеј.,1
197,Сали верује да је њен шеф покушава да је отпусти.,Остаје до касно да би се уверила да је њен рад исправан.,Сали је још увек на ивици.,Одлучила је да организује састанак са својим шефом.,Сали се нада да ће изгубити посао.,Сали се нада да ће је њен шеф задржати.,2
198,Одлучили смо да научимо да правимо слаткише.,Проверили смо књигу о томе и прочитали.,"Онда смо почели да радимо, покушавајући.",Схватили смо да смо прецењени колико је тешко направити слаткише.,Открили смо да смо направили неред у кухињи.,Одлучили смо да своје слаткише продамо у локалном бутику.,1
199,"Вил је био веома дивљи у вртићу, и није слушао свог учитеља.",Његов отац је био веома узнемирен на њега.,Показао је на школског чувара и рекао Вилу да је то његова будућност.,Вил није желео да чисти школске купатила.,Вил је почео да слуша свог учитеља.,Вил је желео да буде чистац.,1
200,Емили је била веома нервозна да се убризга у доктору.,Скрила се испод стола и плакала.,"Када јој је медицинска сестра дала ињекцију, Емили је испружила руку и ударила је.",И Емили и медицинска сестра били су изненађени и болни.,Емили су је родитељи укорили.,Емилини родитељи су је охрабрили.,1
201,Моји пријатељи и ја смо се играли напољу.,Желели смо да играмо нову игру.,Одлучили смо да играмо улични хокеј пошто нисмо били упознати с тим.,Ишли смо напољу и узели опрему.,У игри смо се одушевљено играли све док се не спустила ноћ.,Склопили смо опрему и отишли на различите путеве.,1
202,Једног дана је мој компјутерски мишац престао да ради.,Отишао сам у продавницу да купим нову.,Сваки мишев који сам нашао био је прескуп.,Отишао сам кући и одлучио да поправим миша.,Био сам успешан.,Одлучио сам да престанем да користим рачунар.,1
203,Саманта је возила у часове.,Забележила је да је дома заборавила свој уџбеник.,Она је отишла кући да би је добила.,Дошла је на час 25 минута касно.,Она је прва стигла.,Боље је да је каснила него да није била спремна.,2
204,То је био мој први пут на скијању и нисам добро радила.,Скијао сам директно на путу другог скијача.,Сударали смо се и обоје смо пали на земљу.,Други скијач ми је рекао да се зове Џек и било ми је драго што сам се упознао.,Мислио сам да је Џек био веома учтив.,Мислио сам да је Џек био веома груб.,1
205,Гейбу је био потребан сто у соби.,Али није имао много новца.,Нашао је шперплоту у својој гаражи.,Зато је направио сто од њега.,Габ је одлучио да купи сто за своју собу.,Он је полирао дрво након што је саградио сто.,2
206,Рик је својим пријатељима рекао да мрзи камповање.,Они су га прислушшавали све док није отишао на кампинг.,"Једног вечера, пробудио се у свом шатору.",Из шатора је побегао и викао.,Рик сада чак и не жели да иде на кампинг.,Рик је радо гађао змију.,1
207,Џери је желео да почне нову каријеру.,Претражио је у класификованим огласима за позиве за посао.,Нашао је пожељну позицију у једном од огласа.,Послао је свој резюме регрутеру.,Џери је касније одлучио да је лакше прикупљати помоћ за незапослене.,Онда је регрутер уредио интервју за Џерија.,2
208,Емил је желео да буде велики кувар.,Узимао је часове и напорно учио како да кува.,Упражнявао је кување и сервирао храну пријатељима.,Његови пријатељи су волели његову кухињу и охрабрили су га.,Емил је на крају добио посао кувара.,Емил је престао да разговара са својим пријатељима.,1
209,Ела је припремила пикник за своју породицу.,Али је заборавила да донесе виљушке!,Нису имали начина да једу пилетину и лубу.,Тада су се сви почели смејати и јести рукама.,Ела је била срећна што пикник није био уништен.,Елина породица је била љута на њу до краја дана.,1
210,Емили се пробудила рано да би се припремила за школу прошлог понедељка.,"Пре него што се обуче, проверила је да ли је школа отворена.",Тако је много снеговало да је школа била отказљена.,Емили је била срећна и одлучила да остане унутра и да чита у слободни дан.,Хтела је да се огреје.,Завршила је своју последњу књигу.,2
211,Џолин је отишла у салон за маникюр.,Техник за нокте је очистио и обријао њене нокте.,Џолин није могла да одлучи коју боју лак за нокте жели.,Техник за нокте је предложио дизајн који користи више боја.,Пустила је техничара да јој промени уље.,Џолин је одлучила да послуша савет техничара.,2
212,"Хари је тајно мрзео куће које су прозлале, али није могао да разочара свог пријатеља.","Преправајући храбро лице, они су отишли у тамну кућу.",Успео је да прође кроз све то без да би викао гласно.,На крају су провалили кроз под и пали у купчицу лепине.,Хари је желео да није отишао.,"Хари је био тако срећан што је био у ""Гу"".",1
213,Боби је желео да буде борац.,У средњој школи је учио борбу.,Затим се придружио тиму на колеџу.,Убрзо је почео да се бори професионално.,Он више није био заинтересован за борбу.,Прерано се повукао због повреде.,2
214,Џоан је одлучила да се угости лукши суши вечером.,"Али храна је била лоша, а келнер још лошији!","Питала је за менаџера, али се он није трудио да дође.","Иако то није било у њеној навици, Џоан се толико разбеснила да је отишла без плаћања.","Џоан се осећала лоше због вечере, али је била срећна што је била напорна.",Џоан је следећег вечера отишла у ресторан.,1
215,Џеси је увек желео да се тетоваже.,Њени родитељи су били против тетоваже.,Једном на њен 18. рођендан одлучила је да га купи.,Има малу тетоважу на рамену.,Џесији родитељи су били узнемирени због ње.,Џесији родитељи су били узбуђени што су видели тетоважу.,1
216,Јулијета је желела да буде научник када порасте.,Одлучила је да мора да спроведе један експеримент.,Она је у тепих испразнила кутију соде за печење.,Затим је налила у сирће.,Јулијет је изградила вулкан.,Јулијету је било досадно.,1
217,Јацлин је дошла да се дружи са Робсовом девојком.,Џеклин и Роб се не слажу.,Роб је веома лепо покушао да сачува мир и буде љубазан.,Јацлин је стално износила веома злобне коментаре и примедбе,Роб је коначно отишао да се дружи са својим пријатељима.,Роб је био веома срећан што је проводио време са Џеклин.,1
218,Шерон и њена сестра су отишле у продавницу да би купиле јаја.,Били су у гостопримству и пекли су торту.,"На путу у кућу, Шарон се спотицала и пала.",Јаја су излетела из њених руку и долетела на бетон.,Сва јаја су безбедно слетела.,Шерон је срушила сва јаја.,2
